Contenido,IR,Fecha,Dispositivo,Likes,Retweets,Entidad,Hora,Foto
#GestiónMinfin  | El Ministro @alvarogricci acompañado de la #JuntaMonetaria sostiene reunión virtual con autoridad… https://t.co/EphZziViYW,https://twitter.com/i/web/status/1386771498954903562,26/04/2021 13:57:44,Twitter Web App,9,5,Ministerio de Finanzas Guatemala,13:57:44,http://pbs.twimg.com/profile_images/1292831294796320768/6Q8j5vtW.jpg
"#GestiónMinfin |  El Ministro @alvarogricci recibió en reunión de cortesía al Embajador de #Colombia en Guatemala,… https://t.co/VX7UAn5vfN",https://twitter.com/i/web/status/1386823848838975488,26/04/2021 17:25:46,Twitter Web App,7,3,Ministerio de Finanzas Guatemala,17:25:46,http://pbs.twimg.com/profile_images/1292831294796320768/6Q8j5vtW.jpg
#ReactivaciónEconómica | El @GuatemalaGob impulsa acciones para posicionar a Guatemala como destino de inversión y… https://t.co/S1I0qmmeWN,https://twitter.com/i/web/status/1387036890356912128,27/04/2021 07:32:19,Twitter Web App,9,5,Ministerio de Finanzas Guatemala,07:32:19,http://pbs.twimg.com/profile_images/1292831294796320768/6Q8j5vtW.jpg
"#PanoramaFinanciero 📺 | Te invitamos a ver la primera emisión de nuestras cápsulas noticiosas. 📊📈

Haz clic y conoc… https://t.co/FCBmVEEFyo",https://twitter.com/i/web/status/1387065534672420869,27/04/2021 09:26:08,Twitter Web App,10,4,Ministerio de Finanzas Guatemala,09:26:08,http://pbs.twimg.com/profile_images/1292831294796320768/6Q8j5vtW.jpg
"#GestiónMinfin | La #TesoreríaNacional, responsable de garantizar la disponibilidad de los fondos del Estado de acu… https://t.co/iZZr9T2g8o",https://twitter.com/i/web/status/1387126755492827136,27/04/2021 13:29:24,Twitter Web App,3,1,Ministerio de Finanzas Guatemala,13:29:24,http://pbs.twimg.com/profile_images/1292831294796320768/6Q8j5vtW.jpg
"#ReactivaciónEconómica | #Guatemala se encamina hacia el crecimiento económico, generando mayores oportunidades par… https://t.co/d0EUXJNFXi",https://twitter.com/i/web/status/1387200811680374787,27/04/2021 18:23:41,Twitter for Android,3,2,Ministerio de Finanzas Guatemala,18:23:41,http://pbs.twimg.com/profile_images/1292831294796320768/6Q8j5vtW.jpg
#ControlYRecaudación | El Directorio de la @SATGT ha implementado acciones que se encaminan a facilitar a los… https://t.co/c4mAjGwFCy,https://twitter.com/i/web/status/1387392143443079170,28/04/2021 07:03:58,Twitter Web App,3,1,Ministerio de Finanzas Guatemala,07:03:58,http://pbs.twimg.com/profile_images/1292831294796320768/6Q8j5vtW.jpg
"#FinanzasPersonales | Invierte en la opción más segura y rentable del mercado. 🇬🇹

#BonosDelTesoro 
Encuentra el li… https://t.co/2HVVH8jDib",https://twitter.com/i/web/status/1387818456351973376,29/04/2021 11:17:59,Twitter Web App,2,0,Ministerio de Finanzas Guatemala,11:17:59,http://pbs.twimg.com/profile_images/1292831294796320768/6Q8j5vtW.jpg
"RT @OIMGuatemala: OIM y @MigracionGuate lanzan curso sobre normativa nacional sobre movilidad humana

Seguir leyendo:
👇🏽👇🏽👇🏽
https://t.co/e…",https://twitter.com/i/web/status/1387818690620633097,29/04/2021 11:18:54,Twitter for Android,0,2,Migración Guatemala,11:18:54,http://pbs.twimg.com/profile_images/1346129009051054081/v9JUwo36.jpg
"#Pasaportes | ⚠️ ¡Atención Chiquimula! La sede de Emisión de Pasaportes, se traslada a partir del 4 de mayo para la… https://t.co/7YmECmBLU4",https://twitter.com/i/web/status/1387829232806596610,29/04/2021 12:00:48,Hootsuite Inc.,4,1,Migración Guatemala,12:00:48,http://pbs.twimg.com/profile_images/1346129009051054081/v9JUwo36.jpg
#Información | Con el apoyo de @OIMGuatemala se lanzó el Curso en Línea sobre el Código de Migración y sus Reglamen… https://t.co/ICmuThNoMF,https://twitter.com/i/web/status/1387848378013339661,29/04/2021 13:16:52,Twitter for iPhone,0,1,Migración Guatemala,13:16:52,http://pbs.twimg.com/profile_images/1346129009051054081/v9JUwo36.jpg
"#VacunasGT | #CancillerGT @PedroBroloGT participa en arribó de 321,600 dosis de vacunas #AstraZeneca del mecanismo… https://t.co/leq47KDzVm",https://twitter.com/i/web/status/1387869629251469319,29/04/2021 14:41:19,Twitter Web App,7,2,MINEX Guatemala 🇬🇹,14:41:19,http://pbs.twimg.com/profile_images/1292832595093475329/6LQbTy36.jpg
"#VacunasGT 
@MinSaludGuate #VacunaCOVID19 https://t.co/wi1Acrr87U",https://twitter.com/i/web/status/1387869794934968328,29/04/2021 14:41:59,Twitter Web App,1,0,MINEX Guatemala 🇬🇹,14:41:59,http://pbs.twimg.com/profile_images/1292832595093475329/6LQbTy36.jpg
